method,seed,cond_gender_auc,cond_age_r2,tstr_node_gender_auc,tstr_node_age_r2,n_params,seconds,best_epoch,best_val,test_loss,test_loss_num,test_loss_cat,ks_age,tv_gender,tv_occupation,tv_zip_region,marginal_score,assoc_error,tstr_table_auc,cond_occ_acc,hom_gender_gap,hom_age_gap,dcr_ratio,exact_match,exact_match_real_test,node_gap_gender_agree,node_gap_age_mae
diff_uncond,1004,0.49689250700280113,-0.05558911791282273,0.47610294117647056,-0.06528726307928912,233123.0,16.4,85.0,0.4626992866396904,0.4477333500981331,0.43041186034679413,0.01732148975133896,0.0668697033898305,0.059719279661016964,0.17703919491525424,0.10248940677966101,0.10152939618644069,0.12767412684277313,0.5351890756302522,0.1694915254237288,0.016949152542372836,0.23747401500712495,1.1358262304096787,0.09745762711864407,0.13983050847457626,0.023781310934453348,1.337438128093595
diff_flat,1004,0.5251663165266106,0.2143464791875771,0.5046393557422969,0.1354032738043779,241987.0,15.0,40.0,0.48235955834388733,0.48977208137512207,0.4725934788584709,0.01717859390191734,0.1487023305084746,0.019067796610169524,0.1652542372881356,0.08342161016949154,0.10411149364406783,0.14661126420888984,0.5671393557422969,0.1694915254237288,0.0775423728813559,0.1301740232292168,1.1729447346714328,0.09745762711864407,0.13983050847457626,0.017721613919304047,1.5309134543272833
diff_gnn,1004,0.5172881652661064,0.09015451275995723,0.5576855742296919,0.058026870965726896,255683.0,39.9,25.0,0.47357722371816635,0.47171325981616974,0.45446282625198364,0.01725043193437159,0.125926906779661,0.04131355932203387,0.14340572033898305,0.10063559322033899,0.10282044491525423,0.13905266575522174,0.524422268907563,0.19915254237288135,0.09067796610169487,0.20896558961583986,1.2625790486664834,0.1271186440677966,0.13983050847457626,2.2498875056231604e-05,0.9023098845057742
diff_gnn_shuffled,1004,0.5161939775910365,-0.010829974358154804,0.47137605042016806,-0.048073990249903664,255683.0,68.7,95.0,0.4652484580874443,0.4602397531270981,0.44305890053510666,0.017180852126330137,0.06501588983050843,0.0055614406779661285,0.15108580508474576,0.08527542372881355,0.07673463983050846,0.12086032644915583,0.5211834733893557,0.1906779661016949,0.08093220338983054,0.2408596925353037,1.1784437723398404,0.1271186440677966,0.13983050847457626,0.01171441427928599,1.1786560671966413
diff_gnn_knn,1004,0.5319502801120448,0.22587099286547563,0.4992121848739495,0.1847482480691316,243779.0,15.5,20.0,0.5152835100889206,0.49901730567216873,0.4817316085100174,0.017285702982917428,0.11295021186440679,0.008739406779661008,0.16009004237288135,0.10646186440677967,0.09706038135593222,0.16250820159548382,0.5756302521008403,0.17796610169491525,0.09152542372881356,0.1661253741233376,1.3112455320318948,0.11016949152542373,0.13983050847457626,0.014879256037198085,2.100727463626818
probe_real_labels,1005,0.6958158263305323,0.15146084606819166,0.6958158263305323,0.15146084606819166,,,,,,,,,,,,,,,,,,,,,,
marginal_bootstrap,1005,0.49474789915966394,0.009876265596775013,0.5814950980392157,-0.014684590780912776,0.0,0.0,,,,,,0.05362817796610175,0.004237288135593209,0.1285752118644068,0.12248411016949153,0.07723119703389832,0.19201951657516128,0.4228816526610644,0.13559322033898305,0.042796610169491545,0.11130058237933387,1.242519305019305,0.09745762711864407,0.1228813559322034,-0.0352707364631768,1.140775461226939
row_bootstrap,1005,0.4320728291316526,-0.03325117301672109,0.44012605042016806,-0.09857907298721491,0.0,0.0,,,,,,0.052568855932203395,0.0010593220338982745,0.13122351694915252,0.1340042372881356,0.07971398305084745,0.06097669386940683,0.5898984593837535,0.1440677966101695,0.0775423728813559,0.1330585054995364,0.0,1.0,0.1228813559322034,0.04105294735263232,0.11246437678116195
diff_uncond,1005,0.5184698879551821,-0.013229397490613248,0.4776785714285714,-0.018816401197557564,233123.0,27.5,200.0,0.4436982721090317,0.5455900058150291,0.5290702506899834,0.016519751399755478,0.06554555084745767,0.0026483050847457834,0.1449947033898305,0.13215042372881355,0.08633474576271188,0.058566089027254326,0.45579481792717086,0.1271186440677966,0.03686440677966096,0.09839831980124542,0.9005791505791507,0.11864406779661017,0.1228813559322034,-0.03709314534273278,-0.7482675866206687
diff_flat,1005,0.5072654061624651,0.12637057821668773,0.47085084033613445,0.12201662718762452,241987.0,12.4,10.0,0.4681052416563034,0.4998738095164299,0.48323260992765427,0.016641197493299842,0.09467690677966101,0.020789194915254217,0.14909957627118645,0.1330773305084746,0.09941075211864406,0.13119344145449377,0.4897584033613446,0.15254237288135594,0.04830508474576267,0.06884245802319511,0.9968629343629344,0.0847457627118644,0.1228813559322034,-0.020518974051297434,0.08462576871156458
